id_employe,mois,salaire_brut,prime,heures_sup,absences
1001,2025-01-01,2260.0,500.0,10,0
1001,2025-02-01,3734.0,500.0,5,2
1001,2025-03-01,3969.0,300.0,0,0
1001,2025-04-01,3304.0,500.0,5,1
1001,2025-05-01,4645.0,0.0,10,2
1001,2025-06-01,3649.0,100.0,15,1
1001,2025-07-01,2142.0,500.0,0,2
1001,2025-08-01,4627.0,200.0,0,0
1001,2025-09-01,2244.0,500.0,0,2
1001,2025-10-01,3057.0,0.0,0,0
1001,2025-11-01,2441.0,200.0,0,1
1001,2025-12-01,4058.0,0.0,10,2
1002,2025-01-01,3083.0,0.0,15,2
1002,2025-02-01,2909.0,100.0,10,0
1002,2025-03-01,4418.0,300.0,5,0
1002,2025-04-01,4461.0,500.0,15,2
1002,2025-05-01,4436.0,500.0,15,0
1002,2025-06-01,2206.0,500.0,0,1
1002,2025-07-01,3977.0,0.0,10,2
1002,2025-08-01,4273.0,0.0,15,2
1002,2025-09-01,3270.0,500.0,5,2
1002,2025-10-01,4802.0,500.0,5,0
1002,2025-11-01,3985.0,0.0,5,1
1002,2025-12-01,4595.0,200.0,10,2
1003,2025-01-01,4116.0,0.0,10,1
1003,2025-02-01,4949.0,0.0,15,0
1003,2025-03-01,2194.0,100.0,10,2
1003,2025-04-01,2985.0,200.0,15,2
1003,2025-05-01,3329.0,500.0,5,2
1003,2025-06-01,2566.0,500.0,15,0
1003,2025-07-01,3148.0,300.0,15,2
1003,2025-08-01,3192.0,100.0,10,2
1003,2025-09-01,4376.0,200.0,15,0
1003,2025-10-01,2120.0,500.0,5,2
1003,2025-11-01,4792.0,500.0,0,1
1003,2025-12-01,2412.0,200.0,5,0
1004,2025-01-01,2117.0,500.0,0,2
1004,2025-02-01,2594.0,500.0,10,0
1004,2025-03-01,4375.0,100.0,15,1
1004,2025-04-01,2761.0,0.0,0,1
1004,2025-05-01,4041.0,200.0,10,1
1004,2025-06-01,4645.0,100.0,5,1
1004,2025-07-01,3872.0,200.0,5,2
1004,2025-08-01,2140.0,100.0,15,0
1004,2025-09-01,2917.0,500.0,15,0
1004,2025-10-01,3046.0,0.0,15,2
1004,2025-11-01,2573.0,200.0,5,1
1004,2025-12-01,2597.0,100.0,15,2
1005,2025-01-01,3311.0,300.0,10,2
1005,2025-02-01,3224.0,0.0,0,0
1005,2025-03-01,2769.0,300.0,15,0
1005,2025-04-01,2879.0,500.0,10,2
1005,2025-05-01,2501.0,0.0,10,1
1005,2025-06-01,2013.0,500.0,15,1
1005,2025-07-01,3629.0,0.0,15,2
1005,2025-08-01,4893.0,200.0,15,2
1005,2025-09-01,4365.0,200.0,0,2
1005,2025-10-01,2199.0,300.0,15,1
1005,2025-11-01,2513.0,300.0,5,1
1005,2025-12-01,4927.0,100.0,5,0
1006,2025-01-01,4442.0,300.0,10,0
1006,2025-02-01,4723.0,500.0,10,1
1006,2025-03-01,4613.0,200.0,15,1
1006,2025-04-01,2108.0,500.0,0,2
1006,2025-05-01,3955.0,200.0,10,1
1006,2025-06-01,2540.0,0.0,0,0
1006,2025-07-01,2273.0,500.0,5,2
1006,2025-08-01,3075.0,100.0,15,2
1006,2025-09-01,2394.0,0.0,10,1
1006,2025-10-01,4842.0,0.0,0,1
1006,2025-11-01,3859.0,200.0,0,2
1006,2025-12-01,4936.0,300.0,15,0
1007,2025-01-01,4858.0,100.0,0,2
1007,2025-02-01,2936.0,200.0,0,0
1007,2025-03-01,3145.0,300.0,5,2
1007,2025-04-01,3439.0,200.0,15,0
1007,2025-05-01,4389.0,300.0,5,2
1007,2025-06-01,3546.0,300.0,0,1
1007,2025-07-01,2481.0,0.0,10,1
1007,2025-08-01,2584.0,200.0,0,1
1007,2025-09-01,4451.0,100.0,10,2
1007,2025-10-01,4629.0,300.0,10,1
1007,2025-11-01,4876.0,500.0,0,2
1007,2025-12-01,2576.0,100.0,10,0
1008,2025-01-01,2141.0,0.0,5,0
1008,2025-02-01,4989.0,300.0,10,1
1008,2025-03-01,4524.0,100.0,15,0
1008,2025-04-01,2601.0,200.0,15,0
1008,2025-05-01,2860.0,200.0,5,2
1008,2025-06-01,3831.0,200.0,5,1
1008,2025-07-01,2745.0,100.0,10,2
1008,2025-08-01,2901.0,0.0,0,2
1008,2025-09-01,2197.0,0.0,5,0
1008,2025-10-01,3596.0,200.0,15,0
1008,2025-11-01,2901.0,200.0,15,0
1008,2025-12-01,3011.0,500.0,15,0
1009,2025-01-01,4908.0,300.0,15,1
1009,2025-02-01,3149.0,500.0,15,0
1009,2025-03-01,2347.0,500.0,5,1
1009,2025-04-01,4949.0,100.0,15,1
1009,2025-05-01,2209.0,300.0,10,2
1009,2025-06-01,3130.0,300.0,10,2
1009,2025-07-01,4082.0,0.0,5,1
1009,2025-08-01,3185.0,300.0,5,2
1009,2025-09-01,4760.0,500.0,5,1
1009,2025-10-01,3623.0,300.0,10,0
1009,2025-11-01,3086.0,0.0,10,0
1009,2025-12-01,3383.0,300.0,5,1
1010,2025-01-01,2988.0,200.0,0,2
1010,2025-02-01,4836.0,100.0,5,0
1010,2025-03-01,3824.0,500.0,5,1
1010,2025-04-01,3160.0,100.0,5,0
1010,2025-05-01,3659.0,200.0,10,0
1010,2025-06-01,4811.0,500.0,0,2
1010,2025-07-01,4526.0,0.0,10,2
1010,2025-08-01,3860.0,0.0,5,1
1010,2025-09-01,4992.0,200.0,0,1
1010,2025-10-01,2205.0,200.0,0,1
1010,2025-11-01,4440.0,0.0,10,2
1010,2025-12-01,2051.0,0.0,5,0
1011,2025-01-01,3540.0,500.0,10,1
1011,2025-02-01,2998.0,0.0,10,1
1011,2025-03-01,2504.0,100.0,5,0
1011,2025-04-01,2952.0,300.0,5,2
