id_employe,date_formation,theme,nb_heures,cout
1003,2025-10-03,Python,21,1260
1003,2025-09-18,Sécurité informatique,7,532
1005,2025-09-06,Leadership,21,1575
1005,2025-10-11,Python,21,1365
1005,2025-12-11,Leadership,21,1449
1006,2025-05-11,Python,21,1323
1006,2025-06-23,Excel avancé,7,560
1006,2025-01-05,Gestion du stress,14,1120
1008,2025-04-13,Python,14,602
1008,2025-03-23,Comptabilité,14,1008
1009,2025-04-07,Leadership,21,1029
1010,2025-09-27,Gestion du stress,21,1302
1011,2025-01-27,Leadership,14,910
1011,2025-05-17,Sécurité informatique,14,1008
1012,2025-04-10,Gestion du stress,14,686
1012,2025-11-02,Leadership,7,413
1012,2025-02-11,Excel avancé,14,574
1013,2025-10-07,Comptabilité,14,700
1014,2025-01-01,Leadership,7,287
1014,2025-01-19,Leadership,14,812
1015,2025-05-30,Python,7,455
1015,2025-06-20,Sécurité informatique,14,770
1015,2025-10-12,Gestion du stress,21,1113
1016,2025-06-12,Leadership,21,1428
1016,2025-03-06,Excel avancé,21,1617
1016,2025-12-10,Leadership,7,462
1018,2025-06-10,Sécurité informatique,21,1197
1019,2025-07-11,Python,14,714
1019,2025-12-09,Comptabilité,14,728
1020,2025-05-28,Gestion du stress,14,840
1020,2025-05-17,Sécurité informatique,7,469
1020,2025-08-01,Python,14,686
1021,2025-05-26,Gestion du stress,7,476
1021,2025-02-09,Comptabilité,14,994
1021,2025-11-18,Sécurité informatique,21,1029
1022,2025-07-06,Python,14,1120
1022,2025-11-03,Excel avancé,21,1386
1022,2025-12-02,Gestion du stress,14,728
1023,2025-08-13,Excel avancé,14,868
1023,2025-09-10,Leadership,7,518
1024,2025-10-22,Excel avancé,7,350
1024,2025-09-24,Excel avancé,21,1302
1025,2025-03-29,Leadership,7,350
1026,2025-03-05,Python,7,322
1026,2025-06-25,Leadership,14,714
1026,2025-01-29,Gestion du stress,21,1239
1027,2025-11-07,Python,14,952
1027,2025-11-25,Sécurité informatique,14,994
1027,2025-01-13,Leadership,7,434
1029,2025-04-25,Sécurité informatique,21,1071
1030,2025-01-08,Excel avancé,7,357
1030,2025-05-04,Python,7,462
1033,2025-04-12,Leadership,7,553
1033,2025-02-10,Sécurité informatique,7,455
1033,2025-01-29,Leadership,14,1036
1035,2025-05-13,Excel avancé,7,406
1036,2025-03-08,Comptabilité,7,441
1037,2025-12-11,Gestion du stress,14,1078
1037,2025-05-26,Sécurité informatique,14,560
1037,2025-03-04,Excel avancé,14,952
1039,2025-10-12,Comptabilité,14,1036
1039,2025-01-30,Gestion du stress,21,1596
1039,2025-08-01,Comptabilité,14,756
1040,2025-12-15,Comptabilité,7,378
1040,2025-02-06,Leadership,7,560
1041,2025-05-12,Sécurité informatique,7,385
1041,2025-08-19,Excel avancé,14,1064
1044,2025-08-27,Comptabilité,7,280
1044,2025-12-13,Excel avancé,14,952
1045,2025-07-07,Comptabilité,14,1022
1045,2025-10-01,Gestion du stress,14,1092
1045,2025-01-13,Python,7,434
1047,2025-06-17,Sécurité informatique,7,434
1047,2025-09-11,Comptabilité,21,1491
1048,2025-03-06,Leadership,21,1407
1048,2025-08-24,Comptabilité,7,518
1048,2025-12-12,Gestion du stress,21,1113
1049,2025-06-18,Sécurité informatique,7,539
1049,2025-03-03,Sécurité informatique,14,798
1050,2025-01-21,Comptabilité,14,630
1051,2025-02-09,Python,14,1078
1051,2025-05-09,Leadership,7,469
1051,2025-03-21,Comptabilité,21,924
1052,2025-03-15,Sécurité informatique,21,945
1052,2025-06-08,Sécurité informatique,21,1407
1053,2025-09-28,Sécurité informatique,21,1176
1053,2025-08-04,Leadership,21,1050
1053,2025-10-08,Comptabilité,7,343
1055,2025-12-26,Comptabilité,7,462
1055,2025-10-11,Gestion du stress,14,924
1057,2025-07-29,Leadership,21,987
1057,2025-04-14,Python,7,392
1058,2025-09-14,Excel avancé,14,854
1058,2025-04-20,Gestion du stress,14,756
1059,2025-04-26,Comptabilité,7,511
1059,2025-04-03,Excel avancé,14,1036
1060,2025-02-07,Comptabilité,21,882
1060,2025-01-20,Leadership,14,1022
1062,2025-06-02,Gestion du stress,7,336
1062,2025-08-11,Comptabilité,7,511
1062,2025-08-02,Sécurité informatique,7,287
1063,2025-11-23,Python,21,1512
1063,2025-07-10,Gestion du stress,7,553
1063,2025-03-01,Leadership,14,896
1065,2025-01-22,Leadership,21,1197
1065,2025-05-21,Gestion du stress,21,1281
1065,2025-01-02,Python,7,315
1068,2025-06-16,Excel avancé,7,287
1068,2025-02-04,Sécurité informatique,7,455
1069,2025-04-25,Excel avancé,21,1260
1070,2025-11-16,Python,7,399
1070,2025-09-15,Gestion du stress,14,938
1070,2025-08-31,Comptabilité,7,434
1072,2025-08-22,Leadership,7,490
