id_employe,mois,salaire_brut,prime,heures_sup,absences
1001,2025-01,2260,500,10,0
1001,2025-02,3734,500,5,2
1001,2025-03,3969,300,0,0
1001,2025-04,3304,500,5,1
1001,2025-05,4645,0,10,2
1001,2025-06,3649,100,15,1
1001,2025-07,2142,500,0,2
1001,2025-08,4627,200,0,0
1001,2025-09,2244,500,0,2
1001,2025-10,3057,0,0,0
1001,2025-11,2441,200,0,1
1001,2025-12,4058,0,10,2
1002,2025-01,3083,0,15,2
1002,2025-02,2909,100,10,0
1002,2025-03,4418,300,5,0
1002,2025-04,4461,500,15,2
1002,2025-05,4436,500,15,0
1002,2025-06,2206,500,0,1
1002,2025-07,3977,0,10,2
1002,2025-08,4273,0,15,2
1002,2025-09,3270,500,5,2
1002,2025-10,4802,500,5,0
1002,2025-11,3985,0,5,1
1002,2025-12,4595,200,10,2
1003,2025-01,4116,0,10,1
1003,2025-02,4949,0,15,0
1003,2025-03,2194,100,10,2
1003,2025-04,2985,200,15,2
1003,2025-05,3329,500,5,2
1003,2025-06,2566,500,15,0
1003,2025-07,3148,300,15,2
1003,2025-08,3192,100,10,2
1003,2025-09,4376,200,15,0
1003,2025-10,2120,500,5,2
1003,2025-11,4792,500,0,1
1003,2025-12,2412,200,5,0
1004,2025-01,2117,500,0,2
1004,2025-02,2594,500,10,0
1004,2025-03,4375,100,15,1
1004,2025-04,2761,0,0,1
1004,2025-05,4041,200,10,1
1004,2025-06,4645,100,5,1
1004,2025-07,3872,200,5,2
1004,2025-08,2140,100,15,0
1004,2025-09,2917,500,15,0
1004,2025-10,3046,0,15,2
1004,2025-11,2573,200,5,1
1004,2025-12,2597,100,15,2
1005,2025-01,3311,300,10,2
1005,2025-02,3224,0,0,0
1005,2025-03,2769,300,15,0
1005,2025-04,2879,500,10,2
1005,2025-05,2501,0,10,1
1005,2025-06,2013,500,15,1
1005,2025-07,3629,0,15,2
1005,2025-08,4893,200,15,2
1005,2025-09,4365,200,0,2
1005,2025-10,2199,300,15,1
1005,2025-11,2513,300,5,1
1005,2025-12,4927,100,5,0
1006,2025-01,4442,300,10,0
1006,2025-02,4723,500,10,1
1006,2025-03,4613,200,15,1
1006,2025-04,2108,500,0,2
1006,2025-05,3955,200,10,1
1006,2025-06,2540,0,0,0
1006,2025-07,2273,500,5,2
1006,2025-08,3075,100,15,2
1006,2025-09,2394,0,10,1
1006,2025-10,4842,0,0,1
1006,2025-11,3859,200,0,2
1006,2025-12,4936,300,15,0
1007,2025-01,4858,100,0,2
1007,2025-02,2936,200,0,0
1007,2025-03,3145,300,5,2
1007,2025-04,3439,200,15,0
1007,2025-05,4389,300,5,2
1007,2025-06,3546,300,0,1
1007,2025-07,2481,0,10,1
1007,2025-08,2584,200,0,1
1007,2025-09,4451,100,10,2
1007,2025-10,4629,300,10,1
1007,2025-11,4876,500,0,2
1007,2025-12,2576,100,10,0
1008,2025-01,2141,0,5,0
1008,2025-02,4989,300,10,1
1008,2025-03,4524,100,15,0
1008,2025-04,2601,200,15,0
1008,2025-05,2860,200,5,2
1008,2025-06,3831,200,5,1
1008,2025-07,2745,100,10,2
1008,2025-08,2901,0,0,2
1008,2025-09,2197,0,5,0
1008,2025-10,3596,200,15,0
1008,2025-11,2901,200,15,0
1008,2025-12,3011,500,15,0
1009,2025-01,4908,300,15,1
1009,2025-02,3149,500,15,0
1009,2025-03,2347,500,5,1
1009,2025-04,4949,100,15,1
1009,2025-05,2209,300,10,2
1009,2025-06,3130,300,10,2
1009,2025-07,4082,0,5,1
1009,2025-08,3185,300,5,2
1009,2025-09,4760,500,5,1
1009,2025-10,3623,300,10,0
1009,2025-11,3086,0,10,0
1009,2025-12,3383,300,5,1
1010,2025-01,2988,200,0,2
1010,2025-02,4836,100,5,0
1010,2025-03,3824,500,5,1
1010,2025-04,3160,100,5,0
1010,2025-05,3659,200,10,0
1010,2025-06,4811,500,0,2
1010,2025-07,4526,0,10,2
1010,2025-08,3860,0,5,1
1010,2025-09,4992,200,0,1
1010,2025-10,2205,200,0,1
1010,2025-11,4440,0,10,2
1010,2025-12,2051,0,5,0
1011,2025-01,3540,500,10,1
1011,2025-02,2998,0,10,1
1011,2025-03,2504,100,5,0
1011,2025-04,2952,300,5,2
1011,2025-05,3996,200,10,0
1011,2025-06,4307,100,0,2
1011,2025-07,4812,100,15,2
1011,2025-08,2298,200,15,0
1011,2025-09,2706,500,0,1
1011,2025-10,3578,0,10,0
1011,2025-11,3934,500,10,2
1011,2025-12,3627,100,0,2
1012,2025-01,2309,200,0,0
1012,2025-02,3050,300,10,1
1012,2025-03,4064,200,15,2
1012,2025-04,3806,500,15,1
1012,2025-05,4704,500,15,2
1012,2025-06,4675,100,10,1
1012,2025-07,2711,500,0,0
1012,2025-08,4477,0,5,0
1012,2025-09,2405,0,5,2
1012,2025-10,2201,0,5,2
1012,2025-11,3739,500,0,0
1012,2025-12,4158,200,5,1
1013,2025-01,4682,100,15,0
1013,2025-02,2390,500,10,1
1013,2025-03,3973,500,0,0
1013,2025-04,2649,500,10,1
1013,2025-05,4392,200,0,1
1013,2025-06,3293,100,15,2
1013,2025-07,2920,0,0,0
1013,2025-08,4936,200,0,0
1013,2025-09,2830,0,15,2
1013,2025-10,3917,200,10,1
1013,2025-11,3231,300,0,2
1013,2025-12,4864,100,10,0
1014,2025-01,3290,200,5,1
1014,2025-02,3517,100,5,2
1014,2025-03,2647,0,5,0
1014,2025-04,3451,200,15,0
1014,2025-05,2904,0,15,0
1014,2025-06,3454,100,0,1
1014,2025-07,2146,100,10,1
1014,2025-08,3847,200,15,1
1014,2025-09,3708,100,10,1
1014,2025-10,2455,200,15,0
1014,2025-11,2674,200,0,1
1014,2025-12,2711,0,0,2
1015,2025-01,3756,300,10,0
1015,2025-02,3945,200,15,2
1015,2025-03,2157,0,5,1
1015,2025-04,3486,500,0,2
1015,2025-05,4846,100,5,1
1015,2025-06,4860,300,5,0
1015,2025-07,4265,0,15,2
1015,2025-08,3488,0,5,1
1015,2025-09,2450,300,5,2
1015,2025-10,4111,500,5,0
1015,2025-11,4035,500,15,0
1015,2025-12,3709,100,15,0
1016,2025-01,3041,500,5,1
1016,2025-02,3005,0,10,2
1016,2025-03,4821,500,0,2
1016,2025-04,3617,200,0,2
1016,2025-05,3315,100,5,0
1016,2025-06,4261,200,10,2
1016,2025-07,2981,100,15,1
1016,2025-08,3245,500,10,2
1016,2025-09,3293,200,15,0
1016,2025-10,3642,200,10,1
1016,2025-11,3148,0,5,0
1016,2025-12,2316,100,10,1
1017,2025-01,2175,0,5,2
1017,2025-02,3737,200,10,1
1017,2025-03,4269,200,15,2
1017,2025-04,3763,200,5,0
1017,2025-05,4721,500,0,0
1017,2025-06,4515,300,5,1
1017,2025-07,3148,500,5,2
1017,2025-08,2039,500,10,2
1017,2025-09,2144,300,5,0
1017,2025-10,3977,500,15,0
1017,2025-11,2454,0,5,0
1017,2025-12,2978,100,5,0
1018,2025-01,4213,500,15,2
1018,2025-02,4310,500,0,2
1018,2025-03,4770,500,10,1
1018,2025-04,2210,500,0,2
1018,2025-05,4294,500,5,1
1018,2025-06,4865,200,10,2
1018,2025-07,2561,200,0,0
1018,2025-08,2298,300,10,0
1018,2025-09,4490,0,15,2
1018,2025-10,2666,500,5,2
1018,2025-11,4610,0,0,2
1018,2025-12,2838,500,15,0
1019,2025-01,3329,100,5,2
1019,2025-02,4085,500,5,2
1019,2025-03,4221,0,10,0
1019,2025-04,4763,200,15,2
1019,2025-05,4871,100,10,1
1019,2025-06,3891,0,15,0
1019,2025-07,3332,0,0,0
1019,2025-08,3262,100,10,2
1019,2025-09,4924,100,5,0
1019,2025-10,4442,0,5,1
1019,2025-11,3976,100,0,0
1019,2025-12,3888,500,15,0
